InstructorStrength,InstructorRecommend,CommentsOnEffective
"I loved the worksheets! They were incredibly helpful! I do with I had printed them before hand to draw/color along with the lecture.",,
,"Please present normal physiology before pharmacology (ie, the adrenergic receptors before the drugs).",
,,
"I love the flipped lecture. Thank you Dr. Schnapp!",,
,,
,,
,,
"-Creative<br>-Knowledgeable<br>-normally very good","I appreciate the effort of active learning, but it was so terribly confusing. I watched the pre-lecture video and I left class more confused than when I entered. I would rather have just received a lecture.","Made everything incredibly confusing."
"-study guides are awesome<br>-resources provided also very good","-no more filling out of tables until after weve gone over material<br>-is there a way that adrenergic and cholinergic and muscarinic could be given in the same week? they all are so interrelated and breaking them up like this makes it difficult to follow",#NAME?
"-engaging<br>-understanding of students concerns",#NAME?,
#NAME?,#NAME?,
"-engaging<br>-knew how to use the ipad (rare in instructors)","-did not explain concepts well<br>-did not include all of the slides (please do this. it is so difficult to follow without proper slides)<br>-graphs/figures missing several key components (like what neurotransmitters are involved in the brain)<br>-spent too muc",
"-clear slides<br>-engaging","-organization of slides was lacking...jumped around a lot from specific deficiencies to nails back to diseases a lot. dont know how they connect",
,,
"Great recorded pre-lecture! Very easy to follow and the summary slide was very helpful.","I felt like we were a bit pressed for time during the active learning component.",
"The study guide and worksheet was very helpful and well organized.","I think it would have helped to have a bit more lecture before jumping right into the active learning component.",
"Great lecture and use of summary tables.",none,
"Great recorded lecture and well organized study guide. The pre-annotated slides on slidebox were very helpful.",none,
"Very well organized lecture that was easy to follow.",none,
,,
,,
,"Regarding the ANS lecture. I appreciate the effort to make this a ""collaborative"" learning session, but it wasnt particularly effective. It would have been so much better to scrap the pre-lecture video and collaborative activity and just walk through the nerve pathways with the lecture time.",
"I liked the active learning worksheet, but it would have been more helpful if she had taught the material and used the worksheet as a end-of-session capstone to bring everything together rather than have us look things up blindly.","Spend less time at the beginning talking about what we will talk about so that more time can be dedicated to content. Also please convey a more positive tone with student and do not dismiss questions.",
,,
"gives us a list of drugs that we have to know.","Dont jump around so much. Start simple, and then add complexity.",
,,
"-filling out table as we went was great<br>-VERY clear powerpoint that was WELL organized","the whole concept of arterioles dilating to reduce resistance but arteries constricting to raise blood pressure still seems contradictory and confusing. more explanation here needed.",
"Great lecture and study guide. I really liked how the study guide was framed around your objectives.",none,
,,
"-engaging<br>-slides were easy to follow","-i need the slides. i cannot emphasize this enough. i dont care if they have answers or not, but i need access to them ahead of time. if youre so worried about answers, give us a version without answers but no matter what, i need the slides.",
"Very enjoyable lecture. Tying the lecture and cases to ""the princess bride"" was fun and engaging.",none,
"I really appreciate Dr. Schnapp uploading the pre-lecture recording in a format that could be viewed at faster than 1.0x speed without losing the video. This should be available for all recordings, especially required pre-work (i.e. anatomy). I also appreciate the annotations of the slides. The clicker questions were great.",,"I really appreciate Dr. Schnapp uploading the pre-lecture recording in a format that could be viewed at faster than 1.0x speed without losing the video. This should be available for all recordings, especially required pre-work (i.e. anatomy)."
,,
,"This instructor presented a lot of ""facts"" (i.e. this deficiency is associated with this finding) and gave very little explanation of the physiology behind these findings. This gave me no conceptual framework to work with. When she was asked about physiology, she did not seem to know many of the answers.",
,,"Please have all instructors post the final versions of their slides prior to every session so that we can take meaningful notes. Posting updated slides with answers after class is frustrating and difficult. It is really difficult to consolidate a set of incomplete slides that we take notes on with a set of answer slides. We arent going to cheat by having answers, and if we choose to, it only hurts us."
,,
,"It was a very dry lecture and the lecture slides were not very clear about what was important to know. It isnt helpful to do a worksheet on something we havent learned yet. It would be much more useful if we did the worksheet after the lecture was over.",
,,
,,
,,
,,
,,
"Really liked the exercise that Dr. Nelsen prepared for us and the try at active learning -- I think it was a big success despite some of the handout adjustments, technical difficulties, and time limits. It was useful to draw out the pathways by hand in different colors and in comparing what we had learned before (i.e., somatic innervation) vs. visceral invitation.",,
"Dr. Habeckers handouts are great active learning tools.","Dr. Habeckers slides were confusing at times -- her continued narrative around her editing process for the slides was distracting this particular session. I felt like the drug list provided by Dr. Habecker was low yield and somewhat overwhelming -- Dr. Olyaeis drug tables are a great way to structure information with key information highlighted -- the tables really help students understand differences and similarities between drugs.",
,,
,,
"Great lecture and lecturer, enjoyed the tilt table and the flow diagrams along with the solicitation of student ideas around what causes differences in the baroreflex.","Perhaps this is just me, but I typically like to hear key concepts repeated over and over again and the concepts fleshed out during the middle of the lecture and then consolidated at the end to help me synthesize the broad concepts. Dr. McCully did a great job of this with baroreflex, but emphasis and reemphasis of key RAAS concepts would have been helpful in drilling down the concepts.",
,,
,,
"She is very clear about what she expects us to know",,
"Has a sense of humor",none,
"Model instructor. Started with a review of the basics, spoke slowly, highlighted important points, included clinical correlates, had a reasonable number of slides/hr, and addressed every question. Excellent!",,
,,
"Excellent instructor. Great lecturer, understandable, to-the-point, and relatable. I walked away from his lecture having very little to study because he taught and incorporated active learning exercises well. Bring him back!","Please post slides before lecture.",
,,
"Really knowledgeable about the subject",none,
"Very knowledgable about the subject, confident speaker, can see that she really enjoys what she is teaching. The best instructor to date!",none,
,,
,,
,,
,,
,,
,"This weeks histology lecture was so much better, thank you so much!!",
,,
,,
,,
"Very well organized, effective instructor.","I would way t",
"Approachable and accessible.","I think too much time was spent on the worksheet and not enough time in direct instruction. I would recommend introducing all of the drugs/content of the study guide in class in lecture format.",
,,
,,
"Approachable and accessible.","It is not helpful to ask us to answer questions on material you have not presented to us yet. I would highly recommend lecturing first and then asking active learning questions that are directly related to what you have taught. This style has by far been the most useful and well received ""active learning"" sessions thus far.",
,,
